item,Xvalues,Yvalues
item1,2.56,0.3942
item2,-1.39,0.5932
item3,-2.27,0.2594
item4,0.53,0.0888
item5,2.03,0.8438
item6,2.03,0.1697
item7,-2.41,0.2102
item8,0.85,0.6199
item9,-1.39,0.703
item10,-0.93,0.7166
item11,3.18,0.9577
item12,3.06,0.813
item13,-0.78,0.4832
item14,0.1,0.5296
item15,-1.94,0.3905
item16,-3.73,0.4388
item17,-3.55,0.2455
item18,1.07,0.8377
item19,3.07,0.152
item20,-1.91,0.9615
item21,3.52,0.0625
item22,3.18,0.3097
item23,4.2,0.6637
item24,-0.19,0.7623
item25,0.37,0.7237
item26,2.21,0.9646
item27,-2.33,0.3988
item28,-0.89,0.1134
item29,-2.61,0.4259
item30,1.25,0.9101
item31,-2.05,0.2547
item32,-1.59,0.6289
item33,2.92,0.0589
item34,2.92,0.3109
item35,4.37,0.1522
item36,-2.63,0.871
item37,4.16,0.2151
item38,4.4,0.6057
item39,4.37,0.534
item40,-0.64,0.1816
item41,-0.02,0.6181
item42,-2.57,0.2504
item43,2.09,0.6058
item44,1.39,0.2313
item45,-3.31,0.1623
item46,0.7,0.8367
item47,4.52,0.1192
item48,0.2,0.7281
item49,3.99,0.0323
item50,-2.7,0.8536
item51,3.26,0.7062
item52,2.3,0.6591
item53,-1.12,0.1184
item54,1.45,0.2518
item55,0.14,0.1135
item56,1.42,0.3403
item57,-3.57,0.0301
item58,-1.55,0.8839
item59,3.57,0.2237
item60,1.37,0.0024
item61,-1.52,0.8418
item62,-3.48,0.8088
item63,0.32,0.7597
item64,4.12,0.0683
item65,1.31,0.868
item66,-2.24,0.9704
item67,2.83,0.0956
item68,-3.22,0.5108
item69,-0.41,0.8767
item70,0.14,0.5501
item71,0.57,0.5838
item72,0.48,0.3222
item73,-1.37,0.0296
item74,0.85,0.4867
item75,4.18,0.2128
item76,1.67,0.5057
item77,-0.87,0.0982
item78,0.57,0.2155
item79,-2.9,0.7478
item80,-3.77,0.2271
item81,1.3,0.6864
item82,2.06,0.5362
item83,1.65,0.2875
item84,3.57,0.7952
item85,-2.48,0.9087
item86,3.01,0.5057
item87,-3.1,0.056
item88,4.24,0.6642
item89,3.68,0.2479
item90,0.73,0.7401
item91,4.22,0.2995
item92,-2.93,0.6395
item93,1.8,0.6752
item94,-3.56,0.3068
item95,5,0.728
item96,-0.69,0.3917
item97,3.04,0.7501
item98,-1.27,0.1459
item99,-5,0.0975
item100,5,0.3742
